caso_numero,victima_edad,victima_identidad_genero,victima_tipo,hecho_provincia,hecho_modalidad_comisiva,hecho_fecha,año,mes
651,25,MUJER,PRINCIPAL,Chubut,GOLPES,2016-05-17,2016,5
876,24,HOMBRE,VINCULADO,Cordoba,ACUCHILLAMIENTO,2016-05-24,2016,5
652,12,MUJER,PRINCIPAL,Santa Fe,ESTRANGULAMIENTO,2016-05-25,2016,5
654,12,MUJER,PRINCIPAL,Tucuman,ESTRANGULAMIENTO,2016-05-28,2016,5
655,35,TRANSGENERO,PRINCIPAL,Mendoza,GOLPES,2016-06-05,2016,6
660,41,MUJER,PRINCIPAL,Buenos Aires,DEGOLLAMIENTO,2016-06-07,2016,6
661,24,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-06-08,2016,6
678,20,MUJER,PRINCIPAL,Misiones,ASFIXIA,2016-06-13,2016,6
666,17,MUJER,PRINCIPAL,San Juan,ESTRANGULAMIENTO,2016-06-16,2016,6
662,36,MUJER,PRINCIPAL,Santiago del Estero,AHORCAMIENTO,2016-06-16,2016,6
663,56,MUJER,PRINCIPAL,Chaco,QUEMADURAS,2016-06-20,2016,6
665,26,MUJER,PRINCIPAL,Cordoba,ESTRANGULAMIENTO,2016-06-22,2016,6
664,58,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA,2016-06-22,2016,6
715,53,TRANSGENERO,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-06-23,2016,6
673,42,MUJER,PRINCIPAL,Santa Fe,DEGOLLAMIENTO,2016-06-23,2016,6
668,26,MUJER,PRINCIPAL,Formosa,GOLPES,2016-06-26,2016,6
667,25,MUJER,PRINCIPAL,Tierra del Fuego,DESCUARTIZAMIENTO,2016-07-03,2016,7
669,21,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO,2016-07-04,2016,7
671,35,MUJER,PRINCIPAL,Mendoza,DISPARO DE BALA,2016-07-05,2016,7
674,38,MUJER,PRINCIPAL,Buenos Aires,APUÑALAMIENTO,2016-07-06,2016,7
679,29,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-07-06,2016,7
687,43,MUJER,PRINCIPAL,Neuquen,ACUCHILLAMIENTO,2016-07-06,2016,7
